질문,대답,관련 규정,관련 조항,카테고리,키워드,업데이트 날짜
가나 파견 중 본인 결혼으로 일시귀국하면 며칠까지 인정되나요?,"본인 결혼의 일시귀국 기간은 5일이며, 실제 필요한 왕복 소요일 수를 가산할 수 있습니다. 일시귀국은 미리 경영진 승인을 받아야 하므로 개인 상황에 따라 다를 수 있으므로 HR에 문의해주세요.",가나 파견 직원의 관리 등에 관한 규정,"제15조 제1항, 별표1 일시귀국기간",휴가 및 휴직,"본인결혼, 일시귀국, 5일, 경영진 승인, 가나, 파견, 본인, 결혼으로, 일시귀국하면, 며칠까지, 인정되나요",20.08.13
징계가 부당하다고 생각하면 결과 통보 후 언제까지 재심을 신청해야 하나요?,징계처분을 받은 사원은 징계통보를 받은 날부터 7일 이내에 서면으로 재심신청을 할 수 있습니다. 재심 요청을 받은 위원회는 10일 이내에 재심 회의를 열고 결과를 통보해야 합니다.,취업규칙,"제85조 제1항, 제85조 제2항",인사평가,"징계재심, 7일 이내, 서면신청, 재심회의, 징계가, 부당하다고, 생각하면, 결과, 통보, 언제까지, 재심을, 신청해야",26.05.12
감봉 처분을 받으면 월급에서 얼마까지 감액될 수 있나요?,"감봉은 1회에 평균임금 1일분의 2분의 1을 감액하며, 총액은 월 급여금 총액의 10분의 1을 초과할 수 없습니다.",직원보수규정,제8조 제2항,인사평가,"감봉, 징계, 평균임금, 월급여 10%, 처분을, 받으면, 월급에서, 얼마까지, 감액될",23.03.01
팀 카드로 결제했는데 나중에 보니 개인 용도 결제였어요. 금액을 계좌로 입금하면 해결되나요?,개인 용도로 사용한 뒤 이용대금을 입금하는 방식은 허용되지 않습니다. 불가피하거나 착오로 사용한 경우 사용경위를 소명하고 즉시 개인카드로 변경 결제해야 합니다. 개인 상황에 따라 다를 수 있으므로 HR에 문의해주세요.,팀운영비 사용 및 정산지침,"제4조 제1항, 제4조 제2항",비용정산,"개인사용, 착오결제, 소명, 변경결제, 팀비, 팀카드, 팀 예산, 정산, 카드로, 결제했는데, 보니, 개인",24.07.01
회사 업무와 무관한 사이드잡이나 외부 프로젝트를 퇴근 후에만 하면 괜찮나요?,"회사 승인 없이 회사 업무 외 다른 업무, 직무 또는 영리사업을 겸직할 수 없습니다. 승인 없는 겸업·겸직은 징계해고 사유에도 해당할 수 있으므로 개인 상황에 따라 다를 수 있으므로 HR에 문의해주세요.",취업규칙,"제10조 제4항, 제84조 제9호",윤리,"겸직, 사이드잡, 외부프로젝트, 승인, 회사, 업무와, 무관한, 사이드잡이나, 외부, 프로젝트를, 퇴근, 후에만",26.05.12
저작권 문제가 생기면 실제 사용자에게 손해배상 책임이 생길 수 있나요?,"소프트웨어 저작권 침해로 회사가 법적 제재를 받는 경우, 귀책 사유가 있는 사용자에게 손해배상을 청구할 수 있습니다. 귀책 여부는 개인 상황에 따라 다를 수 있으므로 HR에 문의해주세요.",자산관리규정,제11조 제1항,윤리,"저작권 침해, 손해배상, 소프트웨어, 귀책사유, 저작권, 문제가, 생기면, 실제, 사용자에게, 책임이, 생길",25.02.05
실수로 개인 용도 결제를 법인카드로 했는데 회사 계좌에 돈을 입금하면 되나요?,개인 용도로 사용한 뒤 이용대금을 입금하는 방식은 허용되지 않습니다. 불가피하거나 착오로 사용한 경우 사용경위를 소명하고 즉시 개인카드로 변경 결제해야 하므로 개인 상황에 따라 다를 수 있으므로 HR에 문의해주세요.,법인카드 관리 및 사용지침,"제9조 제1항, 제9조 제2항",윤리,"개인사용, 착오결제, 소명, 개인카드 변경결제, 법카, 카드 정산, 결제, 실수로, 개인, 용도, 결제를, 법인카드로",23.08.01
법인카드 사용지침을 위반한 결제가 취소되지 않으면 정산받을 수 없나요?,"지침 위반 사용은 즉시 카드결제를 취소해야 하며, 기간 경과 등으로 취소가 불가능하면 해당 금액은 정산하지 않습니다. 반복 미정산이나 3회 이상 위반 시 카드 사용이 정지될 수 있습니다.",법인카드 관리 및 사용지침,"제12조 제4항, 제12조 제5항",비용정산,"사용지침 위반, 결제취소, 미정산, 사용정지, 법카, 카드 정산, 결제, 법인카드, 사용지침을, 위반한, 결제가, 취소되지",23.08.01
회사 소프트웨어 설치 파일이나 라이선스 파일을 집에서 쓰려고 가져가도 되나요?,"관리책임자의 승낙 없이 회사가 보유한 소프트웨어 원본 CD, 디스크 및 복제물을 사외로 반출해서는 안 됩니다.",자산관리규정,제11조 제2항 제2호,윤리,"소프트웨어 반출, 라이선스, 복제물, 사외반출, SW, 프로그램, 회사, 소프트웨어, 설치, 파일이나, 파일을, 집에서",25.02.05
특정 모델의 노트북이 꼭 필요한데 구매요청서만 내면 되나요?,"구매요청서에는 견적서나 사양서 등을 첨부해야 하며, 특정 모델이나 공급자를 지정하는 경우 사유서가 필요합니다. 인정 여부는 업무 필요성에 따라 달라질 수 있으므로 개인 상황에 따라 다를 수 있으므로 HR에 문의해주세요.",자산관리규정,"제13조 제3항, 별지 제1호 서식",자산관리,"특정모델, 구매요청, 사유서, 견적서, 장비, 비품, 자산, 특정, 모델의, 노트북이, 필요한데, 구매요청서만",25.02.05
업무에 필요한 유료 툴을 팀에서 바로 구독해도 되나요?,소프트웨어 구매 및 구독은 인사관리팀을 통한 일괄 구매가 원칙입니다. 구독신청서를 작성해 관리책임자에게 요청하고 검토 후 구매해야 합니다.,자산관리규정,"제6조 제1항, 제6조 제3항",자산관리,"소프트웨어, 구독, 인사관리팀, 구독신청서, 업무에, 필요한, 유료, 툴을, 팀에서, 바로, 구독해도",25.02.05
업무상 급해서 제 PC에 무료 프로그램을 먼저 설치했는데 괜찮나요?,회사 소유 컴퓨터에 소프트웨어를 설치하려면 관리책임자의 승낙이 필요합니다. 무료 프로그램이라도 설치 경위와 라이선스 확인이 필요할 수 있으므로 개인 상황에 따라 다를 수 있으므로 HR에 문의해주세요.,자산관리규정,제11조 제2항 제1호,자산관리,"무료프로그램, 소프트웨어 설치, 관리책임자 승인, 라이선스, 업무상, 급해서, PC에, 무료, 프로그램을, 먼저, 설치했는데, 괜찮나요",25.02.05
소프트웨어를 더 이상 안 쓰게 됐는데 그냥 삭제하면 반납 처리된 건가요?,반납사유가 발생하면 자산 수리 및 반납신청서를 작성해 관리책임자에게 제출해야 합니다. 단순 삭제만으로 절차가 완료된다고 보기 어렵습니다.,자산관리규정,"제9조 제2항, 별지 제3호 서식",자산관리,"소프트웨어 반납, 삭제, 반납신청서, 관리책임자, SW, 프로그램, 라이선스, 소프트웨어를, 이상, 쓰게, 됐는데, 그냥",25.02.05
사용 중인 장비가 고장났는데 직접 수리 맡기고 나중에 보고해도 되나요?,비품에 이상이 발생하거나 정상 사용이 어려운 경우 즉시 관리책임자에게 보고해야 합니다. 수리가 필요한 비품은 자산 수리 및 반납신청서를 제출해야 하므로 개인 상황에 따라 다를 수 있으므로 HR에 문의해주세요.,자산관리규정,"제17조 제1항, 제17조 제3항, 별지 제3호 서식",자산관리,"고장, 수리, 관리책임자 보고, 수리신청서, 사용, 중인, 장비가, 고장났는데, 직접, 맡기고, 보고해도",25.02.05
노트북을 이동 중 떨어뜨려 파손했는데 제가 전액 보상해야 하나요?,"손망실 발생 시 즉시 관리책임자에게 보고해야 하며, 사용자 책임 여부와 보상기준은 원인, 내구연한, 잔존가치, 손상정도에 따라 결정됩니다. 개인 상황에 따라 다를 수 있으므로 HR에 문의해주세요.",자산관리규정,"제19조 제1항, 제19조 제2항",자산관리,"노트북 파손, 손망실, 보상기준, 잔존가치, 장비, 비품, 자산, 노트북을, 이동, 떨어뜨려, 파손했는데, 제가",25.02.05
내구연한이 지난 노트북이나 모니터는 자동으로 교체되나요?,"내구연한이 경과한 비품은 점검 후 교체 또는 폐기를 결정하며, 추가 사용이 가능하면 연장 사용할 수 있습니다. 자동 교체로 보기는 어렵습니다.",자산관리규정,"제12조 제1항, 별표1",자산관리,"내구연한, 노트북, 모니터, 교체검토, 장비, 비품, 자산, 내구연한이, 지난, 노트북이나, 모니터는, 자동으로",25.02.05
기존에 쓰던 소프트웨어 라이선스가 만료됐는데 계속 사용해도 되나요?,"라이선스 계약 만료 또는 재계약 불가 시 소프트웨어 교체를 검토해야 하며, 갱신계획이 없으면 처분 대상이 될 수 있습니다. 계속 사용 가능 여부는 확인이 필요합니다.",자산관리규정,"제8조 제5호, 제10조 제1항 제1호",자산관리,"라이선스 만료, 소프트웨어 교체, 갱신, 처분, SW, 프로그램, 라이선스, 기존에, 쓰던, 소프트웨어, 라이선스가, 만료됐는데",25.02.05
퇴사일을 정하지 않고 사직서를 냈는데 회사가 퇴직일을 늦출 수 있나요?,퇴직일자를 명시하지 않은 사직원을 제출한 경우 수리한 날이 퇴직일입니다. 다만 회사는 업무 인수인계를 위해 사직원 제출일로부터 30일을 넘지 않는 범위에서 퇴직일자를 지정해 수리할 수 있습니다.,취업규칙,"제68조 제2항 제2호, 제68조 제3항",입퇴사,"사직서, 퇴직일, 인수인계, 30일, 퇴사일을, 정하지, 않고, 사직서를, 냈는데, 회사가, 퇴직일을, 늦출",26.05.12
"수습기간 중 급여가 감액될 수 있다면, 정식 채용 후 근속연수나 퇴직금 계산에도 불리하게 반영되나요?","수습기간은 정식 채용 후 근속연수에 포함됩니다. 다만 수습 시작일부터 3개월 이내 기간은 평균임금 산정기간에는 포함하지 않는다고 규정되어 있어, 실제 급여·퇴직금 영향은 개인 상황에 따라 다를 수 있으므로 HR에 문의해주세요.",취업규칙,"제9조 제4항, 제9조 제5항, 제9조 제6항",급여,"수습기간, 급여감액, 근속연수, 평균임금, 월급, 보수, 임금, 급여가, 감액될, 있다면, 정식, 채용",26.05.12
월 중간에 입사하거나 퇴사하면 급여는 실제 근무일수 기준으로 계산되나요?,보수의 일할계산은 30분의 1을 1일분으로 계산한다고 규정되어 있습니다. 실제 적용 금액은 입퇴사일과 급여 계산 기준에 따라 달라질 수 있으므로 개인 상황에 따라 다를 수 있으므로 HR에 문의해주세요.,직원보수규정,제6조,급여,"월중입사, 월중퇴사, 일할계산, 급여계산, 월급, 보수, 임금, 중간에, 입사하거나, 퇴사하면, 급여는, 실제",23.03.01
팀장이 아닌 팀원이 팀 운영비를 결제했는데 집행 책임은 누가 지나요?,부서운영비의 집행 책임자는 각 팀의 팀장으로 규정되어 있습니다. 실제 결제자가 팀원인 경우의 내부 확인 절차는 개인 상황에 따라 다를 수 있으므로 HR에 문의해주세요.,팀운영비 사용 및 정산지침,제5조 제1항,비용정산,"집행책임자, 팀장, 팀원결제, 정산책임, 팀비, 팀카드, 팀 예산, 정산, 팀장이, 아닌, 팀원이, 운영비를",24.07.01
팀운영비 사용내역서를 익월 10일까지 제출하지 못했는데 나중에 제출해도 되나요?,집행 책임자는 월별 사용내역서를 익월 10일까지 관리부서에 제출해야 합니다. 기한 경과 후 처리 가능 여부는 원문만으로 단정하기 어려우므로 개인 상황에 따라 다를 수 있으므로 HR에 문의해주세요.,팀운영비 사용 및 정산지침,제6조 제1항,비용정산,"사용내역서, 익월 10일, 정산보고, 제출기한, 팀비, 팀카드, 팀 예산, 정산, 팀운영비, 사용내역서를, 익월, 10일까지",24.07.01
팀 회의가 길어져서 회의 후 저녁 식사를 했는데 팀운영비로 결제해도 되나요?,팀 내 업무 관련 회의 또는 업무 협의 후 발생한 식대는 팀운영비 사용범위에 포함됩니다. 다만 업무 관련성이 분명해야 합니다.,팀운영비 사용 및 정산지침,제2조 제2항 제1호,비용정산,"팀회의, 식대, 업무협의, 팀운영비, 팀비, 팀카드, 팀 예산, 정산, 회의가, 길어져서, 회의, 저녁",24.07.01
"팀 회식 후 늦게 끝나서 택시비를 팀운영비로 결제했는데, 시간이 23시를 넘었어요.","팀 회식 관련 교통비는 사용범위에 포함되지만, 23시~익일 06시는 비정상시간대 사용으로 제한됩니다. 불가피한 사유와 소명자료가 필요할 수 있으므로 개인 상황에 따라 다를 수 있으므로 HR에 문의해주세요.",팀운영비 사용 및 정산지침,"제2조 제2항 제3호, 제4조 제4항 제2호",비용정산,"팀회식, 택시비, 23시, 비정상시간대, 팀비, 팀카드, 팀 예산, 정산, 회식, 늦게, 끝나서, 택시비를",24.07.01
팀 카드가 당장 없어서 개인카드로 먼저 결제했는데 팀운영비로 정산할 수 있나요?,지침상 운영비는 회사에서 지급한 팀 카드로 사용하는 것이 원칙입니다. 개인카드 선결제 정산 가능 여부는 원문에 명시되어 있지 않으므로 개인 상황에 따라 다를 수 있으므로 HR에 문의해주세요.,팀운영비 사용 및 정산지침,제3조 제4항,비용정산,"팀카드, 개인카드, 선결제, 정산, 팀비, 팀 예산, 카드가, 당장, 없어서, 개인카드로, 먼저, 결제했는데",24.07.01
팀 워크샵을 준비 중인데 기존 반기 예산만으로 부족하면 추가 예산을 요청할 수 있나요?,팀 워크샵 추진 시 기획안을 제출하면 운영에 필요한 예산을 추가 배정받을 수 있습니다. 추가 배정 여부와 규모는 기획안 검토가 필요하므로 개인 상황에 따라 다를 수 있으므로 HR에 문의해주세요.,팀운영비 사용 및 정산지침,제3조 제2항,비용정산,"워크샵, 추가예산, 기획안, 예산배정, 팀비, 팀카드, 팀 예산, 정산, 워크샵을, 준비, 중인데, 기존",24.07.01
정산서에는 결제내역이 있는데 영수증 같은 증빙서류 일부가 누락됐어요. 해당 금액이 인정되지 않을 수 있나요?,정산서 제출 시 증빙서류를 반드시 첨부해야 합니다. 집행내용이 불명확하고 소명되지 않으면 불인정 및 환수 조치될 수 있으므로 개인 상황에 따라 다를 수 있으므로 HR에 문의해주세요.,팀운영비 사용 및 정산지침,"제6조 제2항, 제7조 제1항",비용정산,"증빙서류, 영수증, 불인정, 환수, 팀비, 팀카드, 팀 예산, 정산, 정산서에는, 결제내역이, 있는데, 같은",24.07.01
사용범위에는 맞는 것 같은데 결제내역만 보면 용도가 명확하지 않아요. 소명하면 인정될 수 있나요?,집행내용이 불명확한 경우에도 소명되지 않으면 불인정 및 환수 조치될 수 있습니다. 어떤 자료로 소명이 가능한지는 개인 상황에 따라 다를 수 있으므로 HR에 문의해주세요.,팀운영비 사용 및 정산지침,제7조 제1항,비용정산,"사용범위, 집행내용, 소명, 불인정, 팀비, 팀카드, 팀 예산, 정산, 사용범위에는, 맞는, 같은데, 결제내역만",24.07.01
반기 중간에 팀원이 입사하거나 퇴사하면 팀운영비 예산이 바로 조정되나요?,중도 입퇴사가 발생한 경우 해당 변동은 다음 반기 예산에 반영됩니다. 현 반기 예산이 즉시 증감된다고 명시되어 있지는 않습니다.,팀운영비 사용 및 정산지침,제3조 제1항,비용정산,"중도입사, 중도퇴사, 반기예산, 인당 30만원, 팀비, 팀카드, 팀 예산, 정산, 반기, 중간에, 팀원이, 입사하거나",24.07.01
반기 말에 남은 팀운영비를 다음 반기 초 회식비로 넘겨서 쓸 수 있나요?,"팀운영비는 반기 내 사용이 원칙이며, 반기 내 미사용분은 소멸되어 팀별 지정계좌에서 회수됩니다. 다음 반기로 이월 사용하기 어렵습니다.",팀운영비 사용 및 정산지침,제5조 제2항,비용정산,"반기, 미사용분, 이월, 회수, 팀비, 팀카드, 팀 예산, 정산, 말에, 남은, 팀운영비를, 다음",24.07.01
공휴일에 팀 워크샵을 진행해서 팀 카드 결제가 필요한데 사용할 수 있나요?,"공휴일 및 휴무일 사용은 원칙적으로 제한됩니다. 다만 워크샵, 내부결재 등 객관적 증명과 소명자료가 있으면 사용 가능성이 있으므로 개인 상황에 따라 다를 수 있으므로 HR에 문의해주세요.",팀운영비 사용 및 정산지침,제4조 제4항 제1호,비용정산,"공휴일, 휴무일, 워크샵, 소명자료, 팀비, 팀카드, 팀 예산, 정산, 공휴일에, 워크샵을, 진행해서, 카드",24.07.01
자문·평가·심의 회의가 5시간 진행되면 5시간 모두 자문비를 지급하나요?,"자문, 평가, 심의, 각종 위원회 등은 시간당 15만원으로, 1일 4시간 이내 기준이 기재되어 있습니다. 4시간 초과분 지급 가능 여부는 원문만으로 단정하기 어려우므로 개인 상황에 따라 다를 수 있으므로 HR에 문의해주세요.",전문가수당 지급 기준,자문비,비용정산,"자문비, 평가, 심의, 1일 4시간, 자문, 회의가, 5시간, 진행되면, 모두, 자문비를, 지급하나요",21.11.04
외부 강사를 국내 교육에 초빙할 때 시간당 강사료는 어떻게 정하나요?,"외부인사 국내 강사료는 등급에 따라 1등급 25만원, 2등급 20만원, 3등급 15만원 이내로 지급합니다. 등급 판단은 대상자의 직위나 경력에 따라 달라질 수 있으므로 개인 상황에 따라 다를 수 있으므로 HR에 문의해주세요.",전문가수당 지급 기준,"강사료, 등급기준표",비용정산,"외부강사, 국내강사료, 등급, 시간당 수당, 외부, 강사를, 국내, 교육에, 초빙할, 시간당, 강사료는, 정하나요",21.11.04
법률·세무·회계 전문가에게 자문을 받으면 정해진 시간당 단가를 적용하나요?,"법률, 세무, 회계 등에 관한 기타전문가 자문은 실소요비용 기준으로 기재되어 있습니다. 견적·계약·승인 방식은 개인 상황에 따라 다를 수 있으므로 HR에 문의해주세요.",전문가수당 지급 기준,기타전문가,비용정산,"법률자문, 세무자문, 회계자문, 실소요비용, 법률, 세무, 회계, 전문가에게, 자문을, 받으면, 정해진, 시간당",21.11.04
"팀에서 자주 쓰는 소모성 사무용품은 인사관리팀으로 구매 요청해야 하나요, 팀운영비로 사야 하나요?","팀 내 소모성 물품은 인사관리팀을 통해 구입할 수 있고, 소모기간은 1년으로 봅니다. 1년 내 재구매가 필요하면 팀운영비 사용이 원칙이나, 대표이사 승인 시 인사관리팀 구매가 가능합니다.",자산관리규정,"제13조 제4항, 제13조 제5항",비용정산,"소모품, 팀운영비, 인사관리팀, 1년 내 재구매, 팀비, 팀카드, 팀 예산, 정산, 팀에서, 자주, 쓰는, 소모성",25.02.05
행사 준비 때문에 상품권을 법인카드로 구매해야 하는데 사전결재를 받으면 가능한가요?,행사 등을 위해 상품권 등 현금화성 자산 구입이 필요한 경우 사전결재를 받아 사용하는 것이 원칙입니다. 다만 사적 용도의 상품권 구입은 제한되므로 개인 상황에 따라 다를 수 있으므로 HR에 문의해주세요.,법인카드 관리 및 사용지침,"제7조 제4항, 제9조 제4항 H",비용정산,"상품권, 현금화성 자산, 행사, 사전결재, 법카, 카드 정산, 결제, 준비, 상품권을, 법인카드로, 구매해야, 하는데",23.08.01
해외 결제 후 카드사 수수료가 붙었는데 지출결의서는 원금 기준으로 작성하면 되나요?,해외 결제 대금은 사용 원금을 포함해 카드사 청구 수수료 및 제반 수수료를 모두 합산한 최종 결제 금액으로 지출결의서를 작성해야 합니다.,법인카드 관리 및 사용지침,제10조 제5항,비용정산,"해외결제, 카드수수료, 지출결의서, 최종결제금액, 법카, 카드 정산, 결제, 해외, 카드사, 수수료가, 붙었는데, 지출결의서는",23.08.01
차주 수요일까지 정산서를 못 냈는데 나중에 제출해도 지급받을 수 있나요?,지침상 기명식 법인카드는 차주 수요일까지 정산서와 증빙을 제출해야 합니다. 기한 경과 후 처리 가능 여부는 원문만으로 단정하기 어려우므로 개인 상황에 따라 다를 수 있으므로 HR에 문의해주세요.,법인카드 관리 및 사용지침,"제10조 제4항, 제14조 제1항",비용정산,"정산지연, 차주 수요일, 미정산, 사후제출, 법카, 카드 정산, 결제, 차주, 수요일까지, 정산서를, 냈는데, 제출해도",23.08.01
"사용한도 때문에 결제가 안 될 것 같은데, 먼저 결제하고 나중에 한도 변경을 요청해도 되나요?",법인카드는 사용한도를 초과하여 사용할 수 없습니다. 최고한도 변경은 관리부서장 결재 후 주관부서에 요청해야 하므로 사전 확인이 필요합니다.,법인카드 관리 및 사용지침,"제7조 제7항, 제8조 제3항",비용정산,"사용한도, 한도변경, 관리부서장 결재, 주관부서, 법카, 카드 정산, 결제, 결제가, 같은데, 먼저, 결제하고, 한도",23.08.01
법인카드를 사용할 수 없는 상황이라 개인카드로 먼저 결제했는데 법인비용으로 청구할 수 있나요?,개인카드나 현금 사용금액은 원칙적으로 법인비용으로 청구할 수 없습니다. 불가피한 경우 사업자 현금영수증 또는 세금계산서 등으로 증빙해야 하므로 개인 상황에 따라 다를 수 있으므로 HR에 문의해주세요.,법인카드 관리 및 사용지침,"제7조 제1항, 제7조 제3항",비용정산,"개인카드, 현금, 사업자현금영수증, 세금계산서, 법카, 카드 정산, 결제, 법인카드를, 사용할, 없는, 상황이라, 개인카드로",23.08.01
